算法,原始-FPR,原始-ACR,原始FPR误差,原始ACR误差,改进-FPR,改进-ACR,改进FPR误差,改进ACR误差,参考-FPR,参考-ACR
均值法,22.247,7.000,7.452,7.286,21.553,12.679,6.759,1.606,14.795,14.286
ACMD,21.727,21.677,6.933,7.392,11.986,12.000,2.809,2.286,14.795,14.286
VMD,21.498,21.000,6.703,6.714,14.644,14.298,0.150,0.012,14.795,14.286
EMD,22.297,21.677,7.503,7.392,22.323,12.679,7.529,1.606,14.795,14.286
AFD,7.265,7.304,7.530,6.981,7.265,7.304,7.530,6.981,14.795,14.286
VMD-MAPE,20.217,9.739,5.422,4.547,21.553,12.679,6.759,1.606,14.795,14.286
GOA-VMD,17.085,9.882,2.290,4.403,16.982,13.440,2.187,0.846,14.795,14.286
SMVMD,0.000,0.000,14.795,14.286,14.644,14.298,0.150,0.012,14.795,14.286
MVMD,31.434,0.000,16.639,14.286,14.644,14.298,0.150,0.012,14.795,14.286
Multi-ROI ICA,19.377,9.600,4.583,4.686,21.553,12.679,6.759,1.606,14.795,14.286
