算法,FPR,ACR,FFT,投票BPM,FPR误差,ACR误差,FFT误差,投票误差,参考-FPR,参考-ACR,参考-FFT,参考-投票
均值法,21.553,12.679,11.987,12.679,6.759,1.606,2.175,1.606,14.795,14.286,14.161,14.286
ACMD,12.000,12.000,11.987,12.000,2.795,2.286,2.175,2.286,14.795,14.286,14.161,14.286
VMD,14.644,14.609,15.750,14.644,0.150,0.323,1.589,0.358,14.795,14.286,14.161,14.286
EMD,22.297,12.679,20.227,20.227,7.503,1.606,6.066,5.942,14.795,14.286,14.161,14.286
AFD(改),13.831,13.714,13.485,13.714,0.964,0.571,0.677,0.571,14.795,14.286,14.161,14.286
VMD-MAPE,21.553,12.679,11.987,12.679,6.759,1.606,2.175,1.606,14.795,14.286,14.161,14.286
GOA-VMD,16.154,14.298,12.000,14.298,1.359,0.012,2.161,0.012,14.795,14.286,14.161,14.286
SMVMD,14.644,14.609,15.750,14.644,0.150,0.323,1.589,0.358,14.795,14.286,14.161,14.286
MVMD,14.644,14.609,15.750,14.644,0.150,0.323,1.589,0.358,14.795,14.286,14.161,14.286
Multi-ROI ICA,21.553,12.679,11.987,12.679,6.759,1.606,2.175,1.606,14.795,14.286,14.161,14.286
