算法,提取BPM(ACR),参考BPM(ACR),绝对误差,相对误差(%),处理时间(ms),策略
均值法,12.679,14.286,1.606,11.25,1.4,ICA融合 + ACR
ACMD,12.000,14.286,2.286,16.00,3.0,ICA融合 + ACR
VMD,14.609,14.286,0.323,2.26,239.4,ICA融合 + ACR
EMD,12.679,14.286,1.606,11.25,30.6,ICA融合 + ACR
AFD,13.714,14.286,0.571,4.00,2.3,ICA融合 + FFT主频初始化 + ACR
VMD-MAPE,12.679,14.286,1.606,11.25,9.8,ICA融合 + ACR
GOA-VMD,14.298,14.286,0.012,0.09,7638.5,ICA融合 + ACR
SMVMD,14.609,14.286,0.323,2.26,166.8,ICA融合 + ACR
MVMD,14.609,14.286,0.323,2.26,157.7,ICA融合 + ACR
Multi-ROI ICA,12.679,14.286,1.606,11.25,1.1,ICA融合 + ACR
