算法,参考BPM,L1,L2,L3,L4,R1,R2,R3,R4
均值法,14.795,24.000,20.760,21.358,20.642,21.652,20.665,21.578,20.168
ACMD,14.795,21.727,11.240,12.739,10.500,11.240,17.993,26.232,8.993
VMD,14.795,6.431,6.408,12.000,10.902,10.978,17.211,26.059,6.462
EMD,14.795,23.915,11.349,22.095,22.961,23.146,21.504,22.766,20.144
AFD,14.795,7.265,7.265,7.265,7.265,7.265,7.265,7.265,7.265
VMD-MAPE,14.795,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217
GOA-VMD,14.795,17.085,17.085,17.085,17.085,17.085,17.085,17.085,17.085
SMVMD,14.795,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
MVMD,14.795,31.434,31.434,31.434,31.434,31.434,31.434,31.434,31.434
Multi-ROI ICA,14.795,19.377,19.377,19.377,19.377,19.377,19.377,19.377,19.377
