ROI,侧,算法,BPM,参考BPM,绝对误差,相对误差(%)
L1,left,均值法,24.000,14.795,9.205,62.22
L1,left,ACMD,21.727,14.795,6.933,46.86
L1,left,VMD,6.431,14.795,8.364,56.53
L1,left,EMD,23.915,14.795,9.120,61.64
L1,left,AFD,7.265,14.795,7.530,50.89
L1,left,VMD-MAPE,20.217,14.795,5.422,36.65
L1,left,GOA-VMD,17.085,14.795,2.290,15.48
L1,left,SMVMD,0.000,14.795,14.795,100.00
L1,left,MVMD,31.434,14.795,16.639,112.47
L1,left,Multi-ROI ICA,19.377,14.795,4.583,30.98
L2,left,均值法,20.760,14.795,5.965,40.32
L2,left,ACMD,11.240,14.795,3.554,24.02
L2,left,VMD,6.408,14.795,8.387,56.69
L2,left,EMD,11.349,14.795,3.446,23.29
L2,left,AFD,7.265,14.795,7.530,50.89
L2,left,VMD-MAPE,20.217,14.795,5.422,36.65
L2,left,GOA-VMD,17.085,14.795,2.290,15.48
L2,left,SMVMD,0.000,14.795,14.795,100.00
L2,left,MVMD,31.434,14.795,16.639,112.47
L2,left,Multi-ROI ICA,19.377,14.795,4.583,30.98
L3,left,均值法,21.358,14.795,6.563,44.36
L3,left,ACMD,12.739,14.795,2.055,13.89
L3,left,VMD,12.000,14.795,2.795,18.89
L3,left,EMD,22.095,14.795,7.301,49.35
L3,left,AFD,7.265,14.795,7.530,50.89
L3,left,VMD-MAPE,20.217,14.795,5.422,36.65
L3,left,GOA-VMD,17.085,14.795,2.290,15.48
L3,left,SMVMD,0.000,14.795,14.795,100.00
L3,left,MVMD,31.434,14.795,16.639,112.47
L3,left,Multi-ROI ICA,19.377,14.795,4.583,30.98
L4,left,均值法,20.642,14.795,5.847,39.52
L4,left,ACMD,10.500,14.795,4.295,29.03
L4,left,VMD,10.902,14.795,3.893,26.31
L4,left,EMD,22.961,14.795,8.167,55.20
L4,left,AFD,7.265,14.795,7.530,50.89
L4,left,VMD-MAPE,20.217,14.795,5.422,36.65
L4,left,GOA-VMD,17.085,14.795,2.290,15.48
L4,left,SMVMD,0.000,14.795,14.795,100.00
L4,left,MVMD,31.434,14.795,16.639,112.47
L4,left,Multi-ROI ICA,19.377,14.795,4.583,30.98
R1,right,均值法,21.652,14.795,6.858,46.35
R1,right,ACMD,11.240,14.795,3.554,24.02
R1,right,VMD,10.978,14.795,3.817,25.80
R1,right,EMD,23.146,14.795,8.351,56.45
R1,right,AFD,7.265,14.795,7.530,50.89
R1,right,VMD-MAPE,20.217,14.795,5.422,36.65
R1,right,GOA-VMD,17.085,14.795,2.290,15.48
R1,right,SMVMD,0.000,14.795,14.795,100.00
R1,right,MVMD,31.434,14.795,16.639,112.47
R1,right,Multi-ROI ICA,19.377,14.795,4.583,30.98
R2,right,均值法,20.665,14.795,5.871,39.68
R2,right,ACMD,17.993,14.795,3.198,21.62
R2,right,VMD,17.211,14.795,2.416,16.33
R2,right,EMD,21.504,14.795,6.709,45.35
R2,right,AFD,7.265,14.795,7.530,50.89
R2,right,VMD-MAPE,20.217,14.795,5.422,36.65
R2,right,GOA-VMD,17.085,14.795,2.290,15.48
R2,right,SMVMD,0.000,14.795,14.795,100.00
R2,right,MVMD,31.434,14.795,16.639,112.47
R2,right,Multi-ROI ICA,19.377,14.795,4.583,30.98
R3,right,均值法,21.578,14.795,6.783,45.85
R3,right,ACMD,26.232,14.795,11.437,77.31
R3,right,VMD,26.059,14.795,11.264,76.14
R3,right,EMD,22.766,14.795,7.972,53.88
R3,right,AFD,7.265,14.795,7.530,50.89
R3,right,VMD-MAPE,20.217,14.795,5.422,36.65
R3,right,GOA-VMD,17.085,14.795,2.290,15.48
R3,right,SMVMD,0.000,14.795,14.795,100.00
R3,right,MVMD,31.434,14.795,16.639,112.47
R3,right,Multi-ROI ICA,19.377,14.795,4.583,30.98
R4,right,均值法,20.168,14.795,5.374,36.32
R4,right,ACMD,8.993,14.795,5.802,39.22
R4,right,VMD,6.462,14.795,8.333,56.32
R4,right,EMD,20.144,14.795,5.349,36.16
R4,right,AFD,7.265,14.795,7.530,50.89
R4,right,VMD-MAPE,20.217,14.795,5.422,36.65
R4,right,GOA-VMD,17.085,14.795,2.290,15.48
R4,right,SMVMD,0.000,14.795,14.795,100.00
R4,right,MVMD,31.434,14.795,16.639,112.47
R4,right,Multi-ROI ICA,19.377,14.795,4.583,30.98
