算法,方案,BPM,参考BPM(FPR),误差(FPR),参考BPM(ACR),误差(ACR)
ACMD,A_单ROI_FPR,21.727,14.795,6.933,,
ACMD,A_单ROI_ACR,21.677,,,14.286,7.392
ACMD,B_ICA融合_FPR,11.986,14.795,2.809,,
ACMD,B_ICA融合_ACR,12.000,,,14.286,2.286
VMD,A_单ROI_FPR,21.498,14.795,6.703,,
VMD,A_单ROI_ACR,21.000,,,14.286,6.714
VMD,B_ICA融合_FPR,14.644,14.795,0.150,,
VMD,B_ICA融合_ACR,14.298,,,14.286,0.012
GOA-VMD,A_全帧_FPR,17.085,14.795,2.290,,
GOA-VMD,A_全帧_ACR,9.882,,,14.286,4.403
GOA-VMD,B_子帧_FPR,17.085,14.795,2.290,,
GOA-VMD,B_子帧_ACR,9.882,,,14.286,4.403
GOA-VMD,C_ICA1D_FPR,16.982,14.795,2.187,,
GOA-VMD,C_ICA1D_ACR,13.440,,,14.286,0.846
