受试者,参考BPM,最优算法,最优BPM,最优误差,均值法_BPM,ACMD_BPM,VMD_BPM,EMD_BPM,AFD_BPM,Multi-ROI ICA_BPM
lbx1,14.63,均值法,14.97,0.34,14.97,14.97,14.97,14.97,14.97,14.97
lbx2,15.79,均值法,14.97,0.82,14.97,14.97,14.97,14.97,14.97,14.97
wyd1,15.00,均值法,14.99,0.01,14.99,14.99,14.99,14.99,14.99,14.99
wyd2,15.79,均值法,14.97,0.82,14.97,14.97,14.97,14.97,14.97,14.97
xxr1,18.75,均值法,21.71,2.96,21.71,8.24,21.71,21.71,8.24,21.71
xxr2,22.22,均值法,17.22,5.00,17.22,17.22,17.22,17.22,17.22,17.22
zxc1,16.22,均值法,15.72,0.49,15.72,15.72,15.72,15.72,15.72,15.72
zxc2,21.43,均值法,10.49,10.94,10.49,10.49,10.49,10.49,10.49,10.49
WWW1,18.75,均值法,18.74,0.01,18.74,18.74,18.74,18.74,18.74,18.74
WWW4,18.75,均值法,16.14,2.61,16.14,16.14,16.14,16.14,16.14,16.14
WWW5,17.14,均值法,17.22,0.08,17.22,17.22,17.22,17.22,17.22,17.22
WWW6,16.67,均值法,14.22,2.44,14.22,12.73,14.22,14.22,8.24,14.22
WWW7,16.22,均值法,16.47,0.25,16.47,16.47,16.47,16.47,16.47,16.47
WWW8,17.14,均值法,17.24,0.10,17.24,17.24,17.24,17.24,15.74,17.24
WWW10,18.18,均值法,8.24,9.94,8.24,8.24,8.24,8.24,8.24,8.24
WWW11,19.35,均值法,18.72,0.64,18.72,18.72,18.72,18.72,20.21,18.72
WWW12,17.14,均值法,17.97,0.83,17.97,17.97,17.97,17.97,17.97,17.97
