受试者,参考心率,最优算法,最优心率,最优误差,均值法_BPM,ACMD_BPM,VMD_BPM,EMD_BPM,VME_BPM,CEEMDAN_HB_BPM
lbx1,70.06,均值法,68.13,1.93,68.13,67.08,68.13,68.13,67.08,83.85
lbx2,73.97,均值法,74.12,0.14,74.12,74.53,74.12,74.12,74.53,74.12
wyd1,86.64,ACMD,83.85,2.79,83.19,83.85,83.19,83.19,83.85,83.19
wyd2,84.78,CEEMDAN_HB,84.60,0.18,67.38,83.85,67.38,67.38,83.85,84.60
xxr1,67.54,均值法,67.38,0.16,67.38,67.08,67.38,67.38,67.08,67.38
xxr2,68.82,ACMD,67.08,1.74,74.12,67.08,74.12,74.12,67.08,74.12
zxc1,67.74,VMD,67.08,0.66,71.87,60.98,67.08,67.08,67.08,67.08
zxc2,69.49,VME,69.70,0.22,72.70,67.08,72.70,72.70,69.70,72.70
WWW1,88.21,VME,89.19,0.98,66.71,95.83,66.71,66.71,89.19,66.71
WWW4,79.90,ACMD,74.53,5.36,69.42,74.53,63.77,63.77,74.53,60.98
WWW5,82.67,ACMD,83.85,1.18,74.87,83.85,74.87,74.87,83.85,83.85
WWW6,84.78,均值法,83.85,0.93,83.85,83.85,83.85,83.85,83.85,90.59
WWW7,81.59,ACMD,83.85,2.26,73.37,83.85,73.37,73.37,76.36,73.37
WWW8,86.56,ACMD,83.85,2.71,80.95,83.85,80.95,80.95,80.95,83.85
WWW10,79.90,均值法,82.44,2.55,82.44,83.85,82.44,82.44,83.85,82.44
WWW11,76.76,ACMD,74.53,2.22,71.12,74.53,71.12,71.12,74.53,67.08
WWW12,75.17,均值法,75.61,0.44,75.61,74.53,75.61,75.61,74.53,75.61
