受试者,参考心率 (BPM),Baseline估计 (BPM),新估计 (BPM),Baseline误差 (BPM),新误差 (BPM),改善 (BPM),状态,Baseline状态,最佳IC,BaselineIC,置信度
lbx1,70.06,67.38,81.07,2.68,11.01,-8.33,X,OK,3,2,0.157
lbx2,73.97,74.12,71.24,0.14,2.73,-2.59,OK,OK,1,1,0.220
wyd1,86.64,73.45,85.49,13.19,1.15,12.04,OK,X,0,5,0.301
wyd2,84.78,81.60,89.09,3.17,4.31,-1.14,OK,OK,2,2,0.199
xxr1,67.54,68.88,62.72,1.34,4.81,-3.48,OK,OK,2,2,0.203
xxr2,68.82,77.11,92.86,8.29,24.04,-15.75,X,~,9,3,0.176
zxc1,67.74,75.61,73.53,7.88,5.80,2.08,~,~,2,7,0.202
zxc2,69.49,82.44,72.88,12.96,3.39,9.57,OK,X,3,4,0.159
WWW1,88.21,81.70,85.65,6.52,2.56,3.96,OK,~,0,3,0.296
WWW4,79.90,90.41,89.75,10.51,9.85,0.66,~,X,8,9,0.182
WWW5,82.67,82.35,74.52,0.32,8.15,-7.84,~,OK,0,5,0.216
WWW6,84.78,89.09,88.44,4.31,3.65,0.66,OK,OK,0,3,0.220
WWW7,81.59,80.86,72.06,0.74,9.53,-8.80,~,OK,9,1,0.233
WWW8,86.56,82.44,61.58,4.11,24.98,-20.87,X,OK,5,0,0.265
WWW10,79.90,82.44,78.77,2.55,1.12,1.43,OK,OK,4,4,0.173
WWW11,76.76,77.11,88.76,0.36,12.01,-11.65,X,OK,0,6,0.219
WWW12,75.17,86.84,86.80,11.67,11.62,0.05,X,X,5,3,0.266
