受试者,参考心率 (BPM),Baseline估计 (BPM),新估计 (BPM),Baseline误差 (BPM),新误差 (BPM),改善 (BPM),状态,Baseline状态,最佳IC,BaselineIC,置信度
lbx1,70.06,67.38,66.82,2.68,3.24,-0.56,OK,OK,6,2,0.273
lbx2,73.97,74.12,61.74,0.14,12.23,-12.09,X,OK,2,1,0.188
wyd1,86.64,73.45,83.03,13.19,3.61,9.58,OK,X,8,5,0.280
wyd2,84.78,81.60,81.56,3.17,3.22,-0.05,OK,OK,2,2,0.226
xxr1,67.54,68.88,93.68,1.34,26.14,-24.80,X,OK,9,2,0.257
xxr2,68.82,77.11,63.22,8.29,5.60,2.69,~,~,2,3,0.240
zxc1,67.74,75.61,74.35,7.88,6.62,1.26,~,~,2,7,0.248
zxc2,69.49,82.44,70.26,12.96,0.77,12.19,OK,X,8,4,0.199
WWW1,88.21,81.70,64.53,6.52,23.69,-17.17,X,~,2,3,0.279
WWW4,79.90,90.41,77.46,10.51,2.43,8.08,OK,X,0,9,0.171
WWW5,82.67,82.35,88.11,0.32,5.44,-5.12,~,OK,5,5,0.236
WWW6,84.78,89.09,59.94,4.31,24.84,-20.53,X,OK,8,3,0.218
WWW7,81.59,80.86,72.06,0.74,9.53,-8.80,~,OK,7,1,0.218
WWW8,86.56,82.44,81.07,4.11,5.49,-1.38,~,OK,3,0,0.240
WWW10,79.90,82.44,79.59,2.55,0.30,2.24,OK,OK,4,4,0.332
WWW11,76.76,77.11,88.60,0.36,11.84,-11.49,X,OK,0,6,0.249
WWW12,75.17,86.84,86.96,11.67,11.79,-0.12,X,X,2,3,0.242
