受试者,参考心率 (BPM),Baseline估计 (BPM),新估计 (BPM),Baseline误差 (BPM),新误差 (BPM),改善 (BPM),状态,Baseline状态,最佳IC,BaselineIC,置信度
lbx1,70.06,67.38,67.15,2.68,2.91,-0.23,OK,OK,0,2,0.254
lbx2,73.97,74.12,71.08,0.14,2.90,-2.76,OK,OK,1,1,0.197
wyd1,86.64,73.45,85.49,13.19,1.15,12.04,OK,X,0,5,0.294
wyd2,84.78,81.60,89.09,3.17,4.31,-1.14,OK,OK,2,2,0.186
xxr1,67.54,68.88,77.63,1.34,10.09,-8.75,X,OK,2,2,0.257
xxr2,68.82,77.11,62.72,8.29,6.09,2.20,~,~,2,3,0.205
zxc1,67.74,75.61,73.53,7.88,5.80,2.08,~,~,2,7,0.182
zxc2,69.49,82.44,70.26,12.96,0.77,12.19,OK,X,9,4,0.240
WWW1,88.21,81.70,85.98,6.52,2.23,4.28,OK,~,0,3,0.284
WWW4,79.90,90.41,98.59,10.51,18.69,-8.18,X,X,4,9,0.194
WWW5,82.67,82.35,82.21,0.32,0.46,-0.14,OK,OK,8,5,0.189
WWW6,84.78,89.09,88.44,4.31,3.65,0.66,OK,OK,0,3,0.223
WWW7,81.59,80.86,58.79,0.74,22.80,-22.06,X,OK,2,1,0.213
WWW8,86.56,82.44,61.58,4.11,24.98,-20.87,X,OK,5,0,0.298
WWW10,79.90,82.44,66.00,2.55,13.90,-11.35,X,OK,7,4,0.235
WWW11,76.76,77.11,66.00,0.36,10.76,-10.40,X,OK,8,6,0.170
WWW12,75.17,86.84,86.63,11.67,11.46,0.21,X,X,5,3,0.237
