model_ppg1.acq
0.5 msec/sample
3 channels
RSP, X, RSPEC-R
Volts
PPG, X, PPGED-R
Volts
ECG, Y, RSPEC-R
mV
CH1	CH2	CH13	
246342	246342	246342	
3.93097	0.0628662	0.000762939	
3.9325	0.0622559	0.000457764	
3.93372	0.0604248	0.000305176	
3.93372	0.0585938	-0.000152588	
3.93524	0.0576782	0.000305176	
3.93799	0.0570679	0.000152588	
3.93799	0.0576782	0	
3.93921	0.0570679	0.000457764	
3.93951	0.0558472	0.000457764	
3.94257	0.0531006	0.00106812	
3.94348	0.0531006	0.00137329	
3.94318	0.0527954	0.000762939	
3.94318	0.0524902	0.000610352	
3.94592	0.0521851	0.000457764	
3.94806	0.0524902	0.000457764	
3.94775	0.0509644	0.000305176	
3.94836	0.0482178	0.000305176	
3.95081	0.0476074	0	
3.95264	0.0473022	0.000457764	
3.95294	0.0476074	0.000152588	
3.95325	0.0479126	0	
3.95508	0.0454712	0.000305176	
3.95752	0.0430298	0.000915527	
3.95844	0.0427246	0.000915527	
3.95844	0.0427246	0.000610352	
3.95996	0.0424194	0.000457764	
3.9624	0.0430298	0.000762939	
3.96332	0.0424194	0.000610352	
3.96301	0.0405884	0.000610352	
3.96301	0.038147	-0.000152588	
3.96576	0.0375366	-0.000152588	
3.96759	0.038147	0.000457764	
3.9682	0.0375366	0.000457764	
3.96759	0.0375366	0.000152588	
3.96973	0.0372314	0.000305176	
3.97247	0.0378418	0.000152588	
3.97217	0.0357056	0.00106812	
3.97339	0.0335693	0.000610352	
3.97461	0.0332642	0.000762939	
3.97797	0.0326538	0.000152588	
3.97766	0.032959	0.000457764	
3.97736	0.0326538	0.000152588	
3.9798	0.0323486	0	
3.98163	0.0308228	0.000152588	
3.98315	0.0286865	0.000152588	
3.98285	0.027771	0	
3.98285	0.0280762	0.000305176	
3.98468	0.0283813	0.000152588	
3.98682	0.0280762	0.000457764	
3.98743	0.027771	0.00106812	
3.98773	0.0280762	0.00137329	
3.98987	0.0289917	0.000610352	
3.99139	0.0253296	0.000610352	
3.99292	0.0241089	0.000610352	
3.99261	0.0238037	0.00106812	
3.99292	0.0231934	0.000457764	
3.99506	0.0234985	0.000152588	
3.99658	0.0231934	0	
3.99689	0.0238037	0.000457764	
3.9978	0.0234985	0.000305176	
3.99933	0.0222778	0.000152588	
4.00146	0.0210571	0.000305176	
4.00269	0.0189209	0.000915527	
4.00238	0.0183105	0.000457764	
4.00208	0.0180054	0.000762939	
4.00391	0.0183105	0.000610352	
4.00604	0.0186157	0.000762939	
4.00726	0.0183105	0.000457764	
4.00726	0.0180054	0.000915527	
4.01031	0.0180054	-0.000152588	
4.01154	0.0161743	-0.000457764	
4.01245	0.0137329	0.000457764	
4.01215	0.0131226	0.000305176	
4.01276	0.0134277	-0.000152588	
4.01459	0.0131226	0.000610352	
4.01642	0.0131226	0.000305176	
4.01733	0.0131226	0.000915527	
4.01733	0.0128174	0.000610352	
4.01917	0.0131226	0.000457764	
4.02161	0.0131226	0.000610352	
4.02222	0.0128174	0.000762939	
4.02252	0.0109863	0	
4.02222	0.00915527	-0.000152588	
4.02435	0.00823975	0.000152588	
4.02679	0.00823975	0	
4.0271	0.00793457	0	
4.0274	0.0088501	0.000152588	
4.0271	0.00854492	0	
4.02924	0.00823975	0.000457764	
4.03168	0.00823975	0.00137329	
4.03168	0.00823975	0.00106812	
4.03198	0.00854492	0.000457764	
4.03503	0.00854492	0.000457764	
4.03595	0.00671387	0.000762939	
4.03625	0.00396729	0.000457764	
4.03656	0.00274658	0.000305176	
4.03656	0.00396729	0.000152588	
4.039	0.00305176	0.000152588	
4.04144	0.00366211	0.000610352	
4.04114	0.00244141	-0.000152588	
4.04266	0.00335693	0.000305176	
4.04236	0.00305176	0.000457764	
4.04449	0.00366211	0.0012207	
4.04633	0.00335693	0.000915527	
4.04724	0.00366211	0.000610352	
4.04724	0.00335693	0.000762939	
4.04724	0.00152588	0.000457764	
4.04938	-0.0012207	0.000457764	
4.05121	-0.000915527	0.000457764	
4.05121	-0.00152588	-0.000305176	
4.05212	-0.000915527	-0.000610352	
4.05212	-0.0012207	0.000305176	
4.05426	-0.00152588	0.000457764	
4.05609	-0.0012207	0.000305176	
4.0567	-0.00152588	0.000152588	
4.05701	-0.00152588	0	
4.0564	-0.00183105	0.00106812	
4.05884	-0.00152588	0.000915527	
4.06067	-0.0012207	0.000305176	
4.06128	-0.00152588	0.000457764	
4.06219	-0.000610352	0.000305176	
4.06128	-0.00152588	0.000152588	
4.06372	-0.00335693	0.000152588	
4.06586	-0.00488281	-0.000152588	
4.06738	-0.00610352	0.000457764	
4.06677	-0.00610352	0.000457764	
4.06647	-0.00671387	0.000305176	
4.06921	-0.00579834	0.000305176	
4.07074	-0.00640869	0.000305176	
4.07135	-0.00640869	0.000915527	
4.07166	-0.00610352	0.00183105	
4.07166	-0.00610352	0.000457764	
4.07379	-0.00610352	0.000915527	
4.07593	-0.00610352	0.000762939	
4.07623	-0.00610352	0.000610352	
4.07623	-0.00579834	0.000610352	
