model_ppg1.acq
0.5 msec/sample
3 channels
RSP, X, RSPEC-R
Volts
PPG, X, PPGED-R
Volts
ECG, Y, RSPEC-R
mV
CH1	CH2	CH13	
243838	243838	243838	
6.33423	-0.256042	0.000305176	
6.33453	-0.256653	-0.000152588	
6.33453	-0.256042	0.000915527	
6.33423	-0.256042	0.000305176	
6.33484	-0.256653	0	
6.33423	-0.255432	0.000305176	
6.33667	-0.256042	0.000305176	
6.33881	-0.256042	0.000152588	
6.33942	-0.256348	0.000457764	
6.33972	-0.256653	0.000610352	
6.33911	-0.256042	0.000457764	
6.33911	-0.256348	-0.000457764	
6.33942	-0.256042	0.00106812	
6.33972	-0.256653	0.000457764	
6.34003	-0.256042	0.000457764	
6.33972	-0.256348	0.000915527	
6.34033	-0.256042	0.000305176	
6.33972	-0.253601	0.000305176	
6.33911	-0.252075	0.000152588	
6.34186	-0.251465	0.000457764	
6.34369	-0.251465	0.000457764	
6.34369	-0.251465	-0.000152588	
6.3446	-0.251465	0.00106812	
6.34399	-0.25116	0.000610352	
6.3446	-0.251465	0.000762939	
6.34399	-0.25177	0.000762939	
6.3446	-0.251465	0.000457764	
6.3443	-0.25177	0.000457764	
6.34491	-0.252075	0.000305176	
6.3446	-0.251465	0.000457764	
6.3443	-0.25116	0.000457764	
6.34399	-0.25177	-0.000152588	
6.34399	-0.250854	0.000915527	
6.34766	-0.25116	0.000457764	
6.34918	-0.25116	0.000457764	
6.34888	-0.25116	0.000610352	
6.34979	-0.251465	0.000305176	
6.34979	-0.248413	0.000457764	
6.34888	-0.246887	0.000457764	
6.34918	-0.246277	0.000305176	
6.34949	-0.245972	0.000305176	
6.34918	-0.246582	-0.000152588	
6.34888	-0.246277	0.00137329	
6.34857	-0.246277	0.000152588	
6.34949	-0.246582	0	
6.34918	-0.246887	0	
6.34949	-0.246887	0.000457764	
6.35254	-0.246277	0.000305176	
6.35345	-0.246277	0.000305176	
6.35406	-0.246277	0.000305176	
6.35498	-0.245667	0.000305176	
6.35437	-0.246582	-0.000152588	
6.35406	-0.246887	0.00137329	
6.35406	-0.246277	0.000305176	
6.35437	-0.246887	0.000457764	
6.35406	-0.247192	0.000457764	
6.35376	-0.246582	0.000152588	
6.35406	-0.246582	0.000152588	
6.35468	-0.24353	0.000152588	
6.35468	-0.242004	0.000457764	
6.35406	-0.241089	0.000305176	
6.35468	-0.241699	-0.000610352	
6.35406	-0.241699	0.00106812	
6.3562	-0.242004	0.000305176	
6.35834	-0.241699	0.0012207	
6.35895	-0.242004	0.000610352	
6.35925	-0.241699	0.000457764	
6.35956	-0.241394	0.000457764	
6.35956	-0.241089	0.000457764	
6.36017	-0.241394	0.000762939	
6.35895	-0.241699	0.000305176	
6.35895	-0.242004	-0.000610352	
6.35925	-0.241699	0.00106812	
6.35956	-0.241699	0.000305176	
6.35925	-0.241394	0.000457764	
6.35895	-0.242004	0.000610352	
6.35956	-0.241699	0.000610352	
6.35895	-0.241089	0.000915527	
6.35864	-0.241394	0.000762939	
6.36169	-0.238342	0.000610352	
6.36353	-0.237122	0.000305176	
6.36414	-0.237122	-0.000305176	
6.36414	-0.236816	0.00106812	
6.36444	-0.236816	0.000305176	
6.36475	-0.236816	0.000152588	
6.36444	-0.236206	0.000152588	
6.36414	-0.236511	0.000457764	
6.36414	-0.236816	0.000152588	
6.36414	-0.236816	0.000457764	
6.36383	-0.236816	0.000305176	
6.36475	-0.236511	0.000915527	
6.36414	-0.236816	-0.000762939	
6.36444	-0.237122	0.0012207	
6.36322	-0.236816	0.000610352	
6.36414	-0.236206	0.000457764	
6.36383	-0.23407	0.000305176	
6.36658	-0.231934	0.000305176	
6.3681	-0.232239	0.000152588	
6.36932	-0.231628	0.000305176	
6.36963	-0.231934	0.000610352	
6.36963	-0.232239	0.000457764	
6.36871	-0.231934	-0.000457764	
6.36932	-0.231628	0.000762939	
6.36871	-0.231018	0.000610352	
6.36932	-0.232239	0.000915527	
6.36963	-0.232239	0.000457764	
6.36932	-0.232544	0.000610352	
6.36902	-0.231934	0.000610352	
6.36902	-0.229187	0.000305176	
6.36871	-0.227661	0.000457764	
6.36902	-0.226746	0.000152588	
6.36902	-0.227661	-0.000305176	
6.36902	-0.227356	0.000915527	
6.36902	-0.227356	0.000457764	
6.36963	-0.227661	0.000305176	
6.37085	-0.227661	0.000457764	
6.3736	-0.226746	0.000610352	
6.37451	-0.227051	0.000915527	
6.37451	-0.224304	0.000457764	
6.37451	-0.223389	0.000457764	
6.37451	-0.221558	0.000610352	
6.3736	-0.221863	-0.000305176	
6.3739	-0.223083	0.00106812	
6.37421	-0.222168	0.000152588	
6.37451	-0.222168	-0.000305176	
6.37451	-0.222778	0	
6.37421	-0.219421	0.000457764	
6.37421	-0.21759	0.000305176	
6.3739	-0.217285	0.000305176	
6.3736	-0.217285	0.000457764	
6.37451	-0.217285	0.000305176	
6.37421	-0.21698	-0.000152588	
6.37451	-0.216675	0.000915527	
6.3739	-0.213928	0.000457764	
6.37421	-0.213013	0.000305176	
6.37634	-0.212097	0.000152588	
6.37817	-0.212097	0.000305176	
6.37909	-0.212097	0	
6.37909	-0.213013	0.000152588	
6.37939	-0.209351	0.000152588	
6.37909	-0.207825	0.000152588	
6.37909	-0.207825	-0.000762939	
6.37878	-0.207214	0.000915527	
6.37909	-0.207214	0.000305176	
6.37939	-0.205078	0.000915527	
6.37878	-0.202332	0.000457764	
6.37878	-0.202637	0.000152588	
6.38	-0.202637	0.000305176	
6.37878	-0.199585	0.000457764	
6.37909	-0.198059	0.000305176	
6.37909	-0.197754	0.000305176	
6.3797	-0.197754	-0.000305176	
6.37939	-0.197449	0.000915527	
6.37878	-0.194092	0.000152588	
6.37878	-0.192871	0	
6.37909	-0.192871	0.000305176	
6.37848	-0.192261	0.000305176	
6.3797	-0.189819	0.000762939	
6.3797	-0.187378	0.000305176	
6.38123	-0.187073	0.000305176	
6.38397	-0.184326	0.000305176	
6.38367	-0.1828	-0.000305176	
