model_ppg1.acq
0.5 msec/sample
3 channels
RSP, X, RSPEC-R
Volts
PPG, X, PPGED-R
Volts
ECG, Y, RSPEC-R
mV
CH1	CH2	CH13	
283587	283587	283587	
6.67969	-0.0552368	0.000610352	
6.6806	-0.0552368	0.000457764	
6.67938	-0.055542	0.000152588	
6.6803	-0.055542	0.000305176	
6.67969	-0.0552368	0.000152588	
6.6803	-0.0558472	0	
6.67908	-0.055542	0	
6.6806	-0.0549316	0.000610352	
6.67999	-0.055542	0.000457764	
6.67999	-0.0552368	0.000610352	
6.67999	-0.0549316	0.000457764	
6.6803	-0.0552368	0.000610352	
6.68182	-0.0558472	0.000610352	
6.68427	-0.055542	0.000915527	
6.68488	-0.0552368	0.000762939	
6.68488	-0.0558472	0.000457764	
6.68457	-0.0552368	0.000152588	
6.68457	-0.055542	0.000305176	
6.68488	-0.055542	0.000305176	
6.68457	-0.0561523	0.000457764	
6.68549	-0.0552368	0.000457764	
6.68488	-0.055542	0.000305176	
6.68427	-0.0552368	0.000305176	
6.68488	-0.0549316	0.000457764	
6.68488	-0.0552368	0.000762939	
6.68488	-0.0558472	0	
6.68457	-0.0552368	0.000305176	
6.68427	-0.055542	0.000915527	
6.68518	-0.0552368	0.000305176	
6.6861	-0.0552368	0.000305176	
6.68884	-0.0558472	0	
6.68976	-0.0552368	0.000305176	
6.69037	-0.055542	-0.000152588	
6.68945	-0.055542	-0.000152588	
6.68976	-0.0552368	0.000152588	
6.69006	-0.0515747	0.000152588	
6.68976	-0.0506592	0.000152588	
6.68976	-0.0509644	0.000610352	
6.69006	-0.0506592	0.000457764	
6.68976	-0.0509644	0.000457764	
6.69006	-0.0509644	0.000457764	
6.68976	-0.050354	0.000152588	
6.68976	-0.0494385	0.000152588	
6.69006	-0.0509644	0	
6.69006	-0.0497437	0	
6.68976	-0.050354	0.000305176	
6.68945	-0.0506592	0	
6.69189	-0.050354	0.000915527	
6.69373	-0.0509644	0.000457764	
6.69464	-0.0506592	0.000762939	
6.69464	-0.050354	0.000457764	
6.69525	-0.0506592	0.000762939	
6.69403	-0.0509644	0.000457764	
6.69434	-0.0466919	0.000305176	
6.69434	-0.0454712	0.000152588	
6.69434	-0.0454712	0.000305176	
6.69464	-0.0460815	-0.000152588	
6.69525	-0.0457764	0.000152588	
6.69403	-0.0460815	0.000305176	
6.69464	-0.0454712	0.000152588	
6.69495	-0.0454712	0.000305176	
6.69464	-0.045166	0.000610352	
6.69464	-0.0457764	0.000152588	
6.69495	-0.0454712	0.000610352	
6.69495	-0.045166	0.000610352	
6.69708	-0.0421143	0.000152588	
6.69922	-0.0408936	0.000305176	
6.69891	-0.0402832	0.000305176	
6.69922	-0.0405884	0.000457764	
6.69983	-0.0408936	0.000457764	
6.70013	-0.0408936	0.000152588	
6.69891	-0.0408936	0	
6.69891	-0.0408936	0.000152588	
6.70044	-0.0405884	0.000152588	
6.69952	-0.0366211	0.000457764	
6.69983	-0.0354004	0.000610352	
6.69952	-0.0357056	0.000152588	
6.69983	-0.0357056	0.000915527	
6.70044	-0.0357056	0.000457764	
6.69952	-0.0354004	0.000610352	
6.69983	-0.0360107	0.000457764	
6.69952	-0.0354004	0.000457764	
6.69952	-0.0323486	0.000457764	
6.69922	-0.0314331	0.000152588	
6.70197	-0.0311279	0	
6.7041	-0.0311279	0	
6.70441	-0.0308228	0	
6.70471	-0.0308228	0.000305176	
6.70471	-0.0302124	0.000305176	
6.70471	-0.027771	0.000305176	
6.70471	-0.0262451	0.000305176	
6.70502	-0.0259399	0.000915527	
6.70532	-0.0259399	0.000305176	
6.70471	-0.0262451	0.000305176	
6.7041	-0.0265503	0.000610352	
6.70471	-0.0259399	0.000152588	
6.70471	-0.0228882	-0.000305176	
6.7041	-0.0210571	0.000457764	
6.70471	-0.0210571	0.000457764	
6.7041	-0.0213623	0.000152588	
6.70471	-0.0213623	0.000610352	
6.70471	-0.0180054	0.000762939	
6.70441	-0.0158691	0.000457764	
6.70502	-0.015564	0.000152588	
6.70654	-0.0161743	0.000610352	
6.70868	-0.0158691	0.000457764	
6.70959	-0.0158691	0	
6.70959	-0.0125122	0.000457764	
6.70898	-0.0112915	0.000152588	
6.70959	-0.0106812	0.000152588	
6.70898	-0.0112915	0.000152588	
6.70929	-0.0106812	0.000152588	
6.70929	-0.00762939	0.000305176	
6.71051	-0.00610352	0.000152588	
6.7099	-0.00610352	0.000305176	
6.7099	-0.00671387	0.000152588	
6.70929	-0.00549316	0.000152588	
6.70898	-0.00244141	0.000762939	
6.70898	-0.0012207	0.000152588	
6.70898	-0.0012207	0.000305176	
6.70929	-0.000610352	0.000610352	
6.70959	0.00183105	0.000457764	
6.70898	0.00274658	0.000305176	
6.70929	0.00305176	0	
6.71143	0.00305176	0	
6.71417	0.00335693	0.000152588	
6.71448	0.00640869	0.000152588	
6.71387	0.00762939	0.000610352	
6.71326	0.00823975	0.000457764	
6.71417	0.00854492	0.000152588	
6.71448	0.0119019	0.000457764	
6.71448	0.0128174	0.000305176	
6.71448	0.0134277	0.000610352	
6.71478	0.0134277	0.000610352	
6.71417	0.0161743	0.000152588	
6.71478	0.0183105	0.000457764	
6.71448	0.0177002	0	
6.71448	0.0180054	0.000152588	
6.71387	0.0216675	0.000305176	
6.71417	0.0222778	0.000152588	
6.71448	0.022583	0.000610352	
6.71448	0.0234985	0.000305176	
6.71417	0.0256348	0	
6.71417	0.0280762	0.000457764	
6.71417	0.0283813	0.000610352	
6.716	0.0280762	0.000305176	
6.71906	0.0311279	0	
6.71875	0.0326538	0.000762939	
