model_ppg1.acq
0.5 msec/sample
3 channels
RSP, X, RSPEC-R
Volts
PPG, X, PPGED-R
Volts
ECG, Y, RSPEC-R
mV
CH1	CH2	CH13	
294465	294465	294465	
6.47766	-0.0799561	0	
6.47766	-0.0805664	0.000152588	
6.47766	-0.0796509	0.000152588	
6.47766	-0.0796509	0.000610352	
6.47766	-0.0796509	0.000457764	
6.47827	-0.0799561	0.000457764	
6.47766	-0.0796509	0.000457764	
6.47766	-0.0796509	0.000610352	
6.47736	-0.0802612	0.000457764	
6.47736	-0.0802612	0.000305176	
6.47736	-0.0799561	0.000152588	
6.47766	-0.0799561	0.000152588	
6.47705	-0.0793457	0.000305176	
6.47705	-0.0805664	0.000152588	
6.47797	-0.0793457	0.000457764	
6.47736	-0.0802612	0.000305176	
6.47766	-0.0796509	0.000610352	
6.47766	-0.0796509	0.000762939	
6.47797	-0.0799561	0.000457764	
6.47766	-0.0799561	0.000457764	
6.47766	-0.0799561	0.000610352	
6.47797	-0.0793457	0.000457764	
6.47736	-0.0796509	0.000305176	
6.47736	-0.0796509	0.000305176	
6.47797	-0.0799561	0.000457764	
6.47797	-0.0802612	0.000305176	
6.47766	-0.0802612	0.000152588	
6.47797	-0.0796509	0.000457764	
6.47797	-0.0796509	0.000305176	
6.47736	-0.0799561	0.000305176	
6.47827	-0.0799561	0.000457764	
6.47797	-0.0796509	0.000305176	
6.47705	-0.0799561	0.000305176	
6.47766	-0.0799561	0.000915527	
6.47797	-0.0799561	0.000457764	
6.47705	-0.0799561	0.000152588	
6.47797	-0.0805664	0.000457764	
6.47797	-0.0796509	0	
6.47797	-0.0799561	0	
6.47766	-0.0799561	0.000457764	
6.47827	-0.0799561	0.000152588	
6.47736	-0.0799561	0.000457764	
6.47736	-0.0799561	0.000152588	
6.47736	-0.0793457	0.000762939	
6.47736	-0.0802612	0.000457764	
6.47644	-0.0802612	0.000457764	
6.47461	-0.0802612	0.000457764	
6.47308	-0.0793457	0.000762939	
6.47278	-0.0796509	0.000762939	
6.47308	-0.0796509	0.000152588	
6.47278	-0.0796509	0.000152588	
6.47308	-0.0805664	0.000152588	
6.47278	-0.0799561	0.000305176	
6.47278	-0.0802612	0.000152588	
6.47278	-0.0799561	0.000457764	
6.47247	-0.0799561	0.000152588	
6.47278	-0.0802612	0.000305176	
6.47217	-0.0796509	0.000762939	
6.47308	-0.0805664	0.000762939	
6.47308	-0.0802612	0.000610352	
6.47278	-0.0772095	0.000457764	
6.47278	-0.0759888	0.000457764	
6.47308	-0.0747681	0.000457764	
6.47278	-0.0759888	0.000305176	
6.47339	-0.0750732	0.000305176	
6.47278	-0.0756836	0.000457764	
6.47308	-0.0750732	0.000305176	
6.47308	-0.0750732	0	
6.47247	-0.0747681	0.000457764	
6.47247	-0.0753784	0.000305176	
6.47247	-0.0747681	0.000762939	
6.47308	-0.0753784	0.000610352	
6.47278	-0.0744629	0.000305176	
6.47247	-0.0756836	0.000305176	
6.47217	-0.0723267	0.000457764	
6.47308	-0.0701904	0.000457764	
6.47217	-0.0701904	0.000305176	
6.47278	-0.0701904	0.000152588	
6.47247	-0.0704956	0	
6.47247	-0.0708008	0.000305176	
6.47339	-0.0704956	0.000305176	
6.47247	-0.0708008	0.000305176	
6.47278	-0.0704956	0.000457764	
6.47278	-0.0680542	0.000762939	
6.47186	-0.065918	0.000610352	
6.47278	-0.0653076	0.000305176	
6.47247	-0.0650024	0.000152588	
6.47339	-0.0656128	0.000610352	
