model_ppg1.acq
0.5 msec/sample
3 channels
RSP, X, RSPEC-R
Volts
PPG, X, PPGED-R
Volts
ECG, Y, RSPEC-R
mV
CH1	CH2	CH13	
259565	259565	259565	
3.02032	0.276489	0.000305176	
3.02002	0.277405	0.000152588	
3.02063	0.274353	0.000610352	
3.01941	0.273438	0.000152588	
3.01666	0.272217	0.000457764	
3.01605	0.272522	0.000457764	
3.01575	0.270386	0.000915527	
3.01453	0.267944	0.000457764	
3.01147	0.267639	0.000457764	
3.01147	0.267639	0.000457764	
3.01117	0.265503	0.000762939	
3.00934	0.262756	0.000305176	
3.0072	0.262146	0.000305176	
3.00598	0.262451	0.000152588	
3.00537	0.262146	0.000305176	
3.00446	0.260925	0.000457764	
3.00171	0.257568	0.000152588	
3.0014	0.257263	0.000457764	
3.00079	0.257874	0.000305176	
2.99957	0.255737	0.000915527	
2.99683	0.253601	0.000457764	
2.99652	0.252686	0.000305176	
2.99683	0.252991	0.000457764	
2.99622	0.253296	0.000610352	
2.99469	0.250549	0.000457764	
2.99194	0.248108	0.000305176	
2.99103	0.247803	0.000305176	
2.99133	0.247803	0.000457764	
2.9895	0.245972	0.000457764	
2.98676	0.244141	0.000457764	
2.98645	0.242615	0.000457764	
2.98584	0.242615	0.000305176	
2.98431	0.240479	0.000610352	
2.98279	0.238953	0.000762939	
2.98096	0.237427	0.000457764	
2.98126	0.237732	0.000457764	
2.98126	0.238037	0.000762939	
2.98035	0.235901	0.000457764	
2.97729	0.234375	0.000457764	
2.97607	0.233459	0.000152588	
2.97638	0.233154	0.000610352	
2.97485	0.231018	0.000152588	
2.9718	0.228882	0.000305176	
2.97119	0.228882	0.000457764	
2.97089	0.228577	0.000610352	
2.97119	0.22644	0.000457764	
2.9715	0.223389	0.000610352	
2.9715	0.222778	0.000457764	
2.97089	0.222778	0.000762939	
2.96997	0.221863	0.000152588	
2.96722	0.218811	0.000610352	
2.96692	0.218201	0.000305176	
2.96631	0.217896	0.000305176	
2.96509	0.218201	0.000152588	
2.96265	0.216675	0.000305176	
2.96112	0.214233	0.000762939	
2.96204	0.213013	0.000305176	
2.9599	0.213318	0.000457764	
2.95746	0.211487	0.000457764	
2.95654	0.209045	0.000457764	
2.95685	0.20874	0.000610352	
2.95715	0.20874	0.000762939	
2.95502	0.206604	0.000305176	
2.95288	0.204468	0.000457764	
2.95197	0.203552	0.000152588	
2.95135	0.203552	0.000457764	
2.95105	0.201416	0.000457764	
2.95013	0.198975	0.000457764	
2.948	0.198059	0.000305176	
2.94708	0.19928	0.000457764	
2.94647	0.198975	0.000457764	
2.94556	0.197144	0.000152588	
2.94312	0.194092	0.000610352	
2.94159	0.193481	0.000915527	
2.94159	0.193481	0.000762939	
2.94098	0.191956	0.000457764	
2.94067	0.189819	0.000457764	
2.93793	0.188904	0.000305176	
2.93732	0.189209	0.000305176	
2.93671	0.186768	0.000457764	
2.93549	0.184326	0	
