¡ı»Ù∫Ï0702.acq
0.5 msec/sample
3 channels
RSP, X, RSPEC-R
Volts
PPG, X, PPGED-R
Volts
ECG, Y, RSPEC-R
mV
CH1	CH2	CH13	
240898	240898	240898	
-7.69531	-0.227051	0.000305176	
-7.69592	-0.226746	0.000305176	
-7.69562	-0.226746	0.000915527	
-7.6944	-0.226746	0.000762939	
-7.6947	-0.229187	0.000610352	
-7.6944	-0.231323	0.000610352	
-7.69531	-0.232239	0.000762939	
-7.69501	-0.231934	0.000457764	
-7.69562	-0.232239	0.000305176	
-7.69531	-0.231934	0.000457764	
-7.6944	-0.232544	0.000457764	
-7.69501	-0.231934	0.000610352	
-7.69684	-0.231628	0.000457764	
-7.69897	-0.231628	0.000305176	
-7.69989	-0.232239	0.000762939	
-7.70081	-0.231323	0.000457764	
-7.70081	-0.232239	0.000457764	
-7.7005	-0.231934	0.000762939	
-7.70081	-0.231934	0.000305176	
-7.7002	-0.231323	0.000915527	
-7.7002	-0.231934	0.000457764	
-7.7002	-0.232239	0.000610352	
-7.69989	-0.232239	0.000610352	
-7.69989	-0.231934	0.000305176	
-7.7005	-0.231934	0.000152588	
-7.69989	-0.231323	0.000305176	
-7.70203	-0.231628	0	
-7.70355	-0.231628	0.000457764	
-7.70508	-0.231934	0.000152588	
-7.70538	-0.231628	0.000457764	
-7.70477	-0.231934	0.000457764	
-7.70508	-0.232239	0.000457764	
-7.70477	-0.231934	0.000457764	
-7.70508	-0.231934	0.000457764	
-7.70538	-0.232544	0.000610352	
-7.70691	-0.232239	0.000305176	
-7.70844	-0.232239	-0.000152588	
-7.70966	-0.232239	0.000457764	
-7.71057	-0.231934	0.000305176	
-7.70996	-0.231934	0.000610352	
-7.70996	-0.231934	0.000610352	
-7.71057	-0.231628	0.000457764	
-7.70935	-0.232239	0.000762939	
-7.71179	-0.231934	0.00106812	
-7.71393	-0.232544	0.000915527	
-7.71484	-0.229492	0.000762939	
-7.71545	-0.228271	0.000610352	
-7.71484	-0.226746	0.000762939	
-7.71484	-0.226746	0.000610352	
-7.71484	-0.227051	0.000305176	
-7.71637	-0.22644	0.000457764	
-7.71942	-0.227051	0.000457764	
-7.71973	-0.227051	0.000915527	
-7.72064	-0.227356	0.000610352	
-7.72003	-0.227356	0.000762939	
-7.72064	-0.226746	0.000610352	
-7.71942	-0.226746	0.000610352	
-7.72156	-0.226135	0.000762939	
-7.72369	-0.227051	0.000152588	
-7.72461	-0.226746	0.000762939	
-7.72461	-0.227356	0.000762939	
-7.72491	-0.226746	0.000762939	
-7.72522	-0.227356	0.000457764	
-7.72522	-0.227356	0.000305176	
-7.72522	-0.226746	0.000305176	
-7.72491	-0.227661	0.000305176	
-7.72491	-0.22522	0.000152588	
-7.72491	-0.222473	0.000762939	
-7.72522	-0.222778	0.000305176	
-7.72491	-0.222473	0.000762939	
-7.72522	-0.222168	0.000610352	
-7.72491	-0.222168	0.000610352	
-7.72491	-0.222473	0.000457764	
-7.72583	-0.222473	0.000305176	
-7.72736	-0.222168	0.000762939	
-7.73224	-0.222168	0.000610352	
-7.73468	-0.222473	0	
-7.73529	-0.222168	0.000305176	
-7.73682	-0.220337	0.000457764	
-7.73834	-0.217896	0.000457764	
-7.73926	-0.21759	0.000610352	
-7.73987	-0.217285	0.000610352	
-7.73926	-0.217285	0.000457764	
-7.74109	-0.217285	0.000762939	
-7.74353	-0.21759	0.000915527	
-7.74536	-0.217285	0.000762939	
-7.74506	-0.21759	0.000915527	
-7.74506	-0.215454	0.000457764	
-7.74628	-0.213318	0.000457764	
-7.74811	-0.211792	0.000457764	
-7.74994	-0.212402	0.000457764	
-7.74963	-0.212402	0.000457764	
-7.75024	-0.212708	0.000457764	
-7.7533	-0.212402	0.000457764	
-7.75391	-0.212402	0.000457764	
-7.75421	-0.209656	0.000610352	
-7.75635	-0.207825	0.000762939	
-7.75848	-0.207214	0.000762939	
-7.75879	-0.20752	0.000457764	
-7.7597	-0.207214	0.000915527	
-7.7597	-0.206909	0.000457764	
-7.76093	-0.20752	0.000305176	
-7.76367	-0.205688	0.000457764	
-7.76459	-0.202942	0	
-7.76489	-0.202026	0.000152588	
-7.7655	-0.202637	0.000762939	
-7.76825	-0.202332	0.000610352	
-7.76855	-0.202026	0.000305176	
-7.77008	-0.201111	0.000457764	
-7.77344	-0.198669	0.000762939	
-7.77405	-0.198364	0.000610352	
-7.77405	-0.198364	0.000610352	
-7.77588	-0.197449	0.000762939	
-7.77771	-0.197754	0.000457764	
-7.77924	-0.195313	0.000457764	
-7.77924	-0.193176	0.000457764	
-7.78046	-0.193176	0.000305176	
-7.78259	-0.192566	0.000152588	
-7.78381	-0.192871	0.000457764	
-7.78534	-0.192261	0.000457764	
-7.78778	-0.19043	0.000610352	
-7.789	-0.187683	0.000762939	
-7.789	-0.187378	0.000610352	
-7.79053	-0.187683	0.000457764	
-7.79327	-0.187683	0.000915527	
-7.79449	-0.185852	0.000762939	
-7.79572	-0.183716	0.000762939	
-7.79846	-0.1828	0.000762939	
-7.79907	-0.182495	0.000610352	
-7.79877	-0.182495	0.000457764	
-7.8006	-0.180359	0.000305176	
-7.80334	-0.178528	0.000305176	
-7.80457	-0.178223	0.000457764	
-7.80548	-0.177917	0.000305176	
-7.80762	-0.176392	0.000762939	
-7.80884	-0.173035	0.000457764	
-7.81067	-0.173035	0.000915527	
-7.81281	-0.173035	0.000610352	
-7.81372	-0.173035	0.000457764	
-7.81494	-0.170593	0.000915527	
-7.81738	-0.168762	0.000610352	
-7.81799	-0.168152	0.000762939	
-7.81921	-0.168152	0.000152588	
-7.82166	-0.16571	0.000152588	
-7.82349	-0.163269	0.000305176	
-7.82501	-0.163269	0.000610352	
-7.82684	-0.163269	0.000152588	
-7.82867	-0.161438	0.000610352	
-7.8302	-0.158997	0.000152588	
-7.83234	-0.158691	0.000610352	
-7.83264	-0.158081	0.000762939	
-7.83417	-0.157776	0.000457764	
-7.83691	-0.155945	0.000457764	
-7.83844	-0.153809	0.000305176	
-7.83997	-0.153198	0.000305176	
-7.84271	-0.153503	0.000457764	
-7.84302	-0.151367	0.000152588	
-7.84485	-0.148926	0.000457764	
-7.84821	-0.148315	0.000457764	
-7.84882	-0.146484	0.000152588	
-7.84943	-0.144958	0.000305176	
-7.85217	-0.144348	0.000457764	
-7.85339	-0.144043	0.000457764	
-7.85522	-0.141907	0.000762939	
